team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Jaipur Pink Panthers,U Mumba,28,44,40,40,24,32,23,22,10,4,,,,,5,Choice of court :Right,5,U Mumba,U Mumba
Dabang Delhi K.C.,Bengal Warriors,39,40,44,45,27,32,19,21,12,9,,,,,2,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Dabang Delhi,Patna Pirates,45,26,45,44,25,28,12,22,7,14,,,,,6,Choice of court :Left,,,Dabang Delhi
Dabang Delhi,Jaipur Pink Panthers,21,51,39,40,33,21,27,9,13,6,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Jaipur Pink Panthers,Puneri Paltan,31,18,44,44,21,21,9,15,6,12,,,,,7,Choice of court :Left,,,Jaipur Pink Panthers
Dabang Delhi,Telugu Titans,45,45,44,44,35,35,28,28,8,7,,,,,8,Choice of court :Right,,,Match Tied
Bengaluru Bulls,U Mumba,29,36,49,48,20,30,11,12,18,10,,,,,1,Choice of court :Right,,,U Mumba
Bengal Warriors,Puneri Paltan,31,28,46,46,19,20,10,11,10,13,,,,,7,Choice of court :Left,,,Bengal Warriors
Haryana Steelers,Gujarat Fortunegiants,27,27,45,44,20,19,12,11,9,8,1,0,1,1,28,Choice of court :Left,28,Haryana Steelers,Match Tied
Bengaluru Bulls,Jaipur Pink Panthers,25,27,52,53,16,23,9,11,12,9,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Bengal Warriors,Patna Pirates,32,34,47,47,25,25,18,16,9,8,,,,,4,Choice of court :Right,,,Patna Pirates
Bengaluru Bulls,Dabang Delhi,40,21,47,46,22,24,8,18,6,14,,,,,2,Choice of court :Left,,,Bengaluru Bulls
Patna Pirates,U Mumba,27,32,48,49,26,22,15,11,11,11,,,,,6,Choice of court :Right,,,U Mumba
Patna Pirates,Telugu Titans,34,35,40,41,23,28,19,23,5,8,,,,,8,Choice of court :Left,,,Patna Pirates
Bengaluru Bulls,Telugu Titans,43,29,52,52,30,26,15,18,9,18,,,,,1,Choice of court :Left,,,Bengaluru Bulls
Puneri Paltan,Dabang Delhi,33,28,40,40,23,24,12,17,8,11,,,,,2,Choice of court :Left,,,Puneri Paltan
Jaipur Pink Panthers,Bengal Warriors,38,39,43,39,22,33,19,20,13,5,,,,,4,Choice of court :Left,,,Bengal Warriors
Puneri Paltan,U Mumba,34,39,43,43,27,27,17,13,14,12,,,,,7,Choice of court :Right,,,U Mumba
U Mumba,Telugu Titans,25,46,43,43,30,27,25,15,13,5,,,,,5,Choice of court :Right,,,Telugu Titans
Puneri Paltan,Patna Pirates,21,38,43,44,21,18,14,5,15,9,,,,,7,Choice of court :Right,,,Patna Pirates
Patna Pirates,Jaipur Pink Panthers,26,24,42,43,19,18,6,9,9,14,,,,,3,Choice of court :Left,,,Patna Pirates
Puneri Paltan,Bengaluru Bulls,30,31,48,47,23,24,15,17,9,8,,,,,7,Choice of court :Left,,,Bengaluru Bulls
Telugu Titans,Bengaluru Bulls,38,39,52,52,28,27,19,14,15,9,,,,,8,Choice of court :Right,,,Bengaluru Bulls
U Mumba,Patna Pirates,35,18,50,50,24,19,8,12,7,16,,,,,6,Choice of court :Right,,,U Mumba
Bengal Warriors,Puneri Paltan,37,34,40,39,29,30,21,22,8,9,,,,,7,Choice of court :Right,4,Bengal Warriors,Bengal Warriors
Patna Pirates,Telugu Titans,26,34,46,46,24,20,17,13,9,7,,,,,6,Choice of court :Right,,,Telugu Titans
U Mumba,Bengaluru Bulls,36,30,52,51,29,26,15,16,10,14,,,,,5,Choice of court :Right,,,U Mumba
Telugu Titans,U Mumba,25,27,40,40,17,23,11,16,8,7,,,,,5,Choice of court :Left,,,U Mumba
Dabang Delhi,Bengaluru Bulls,29,35,42,42,21,27,16,16,11,7,,,,,2,Choice of court :Right,,,Bengaluru Bulls
Jaipur Pink Panthers,U Mumba,27,18,39,39,18,19,8,10,9,11,,,,,5,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,Puneri Paltan,27,26,43,43,19,19,11,9,11,10,0,0,2,1,7,Choice of court :Left,,,Telugu Titans
Patna Pirates,Jaipur Pink Panthers,29,28,39,40,22,20,12,14,9,10,,,,,6,Choice of court :Left,,,Patna Pirates
Telugu Titans,Dabang Delhi,45,34,42,43,32,26,20,22,4,13,1,1,1,0,2,Choice of court :Left,,,Telugu Titans
Telugu Titans,Bengal Warriors,17,25,41,41,16,16,9,6,11,7,0,0,0,0,4,Choice of court :Left,,,Bengal Warriors
Bengaluru Bulls,Patna Pirates,24,33,43,42,21,24,16,14,11,5,,,,,1,Choice of court :Right,,,Patna Pirates
Jaipur Pink Panthers,Patna Pirates,35,18,39,39,16,20,9,17,3,12,,,,,3,Choice of court :Right,,,Jaipur Pink Panthers
Dabang Delhi,Puneri Paltan,20,38,41,41,25,24,20,11,13,5,,,,,7,Choice of court :Left,,,Puneri Paltan
Bengaluru Bulls,Bengal Warriors,24,34,41,42,24,20,17,11,10,8,,,,,1,Choice of court :Right,,,Bengal Warriors
Dabang Delhi,U Mumba,17,30,40,41,21,16,12,5,13,9,,,,,2,Choice of court :Right,,,U Mumba
Bengaluru Bulls,Jaipur Pink Panthers,36,26,43,44,22,18,11,14,5,12,,,,,1,Choice of court :Left,,,Bengaluru Bulls
U Mumba,Patna Pirates,26,40,43,43,24,28,18,14,16,6,,,,,5,Choice of court :Right,,,Patna Pirates
Bengaluru Bulls,Telugu Titans,26,35,41,40,17,27,11,16,11,7,0,0,0,2,1,Choice of court :Left,,,Telugu Titans
Bengal Warriors,Puneri Paltan,33,28,40,40,17,22,8,16,7,11,,,,,7,Choice of court :Left,,,Bengal Warriors
Jaipur Pink Panthers,Dabang Delhi,39,34,40,39,20,26,12,18,8,11,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Patna Pirates,Telugu Titans,29,25,40,41,25,19,16,15,4,9,1,0,0,0,8,Choice of court :Left,,,Patna Pirates
Bengal Warriors,Dabang Delhi,34,17,41,41,16,19,7,13,6,13,,,,,4,Choice of court :Right,,,Bengal Warriors
Bengal Warriors,U Mumba,28,38,37,37,30,25,25,17,8,6,,,,,5,Choice of court :Right,4,Bengal Warriors,U Mumba
Bengal Warriors,Patna Pirates,31,36,42,42,29,23,20,15,8,10,,,,,6,Choice of court :Left,,,Patna Pirates
U Mumba,Bengaluru Bulls,29,28,42,42,24,16,13,7,10,11,,,,,5,Choice of court :Right,,,U Mumba
Bengal Warriors,Jaipur Pink Panthers,34,20,43,42,18,19,8,15,6,13,,,,,3,Choice of court :Left,,,Bengal Warriors
Puneri Paltan,Patna Pirates,30,30,45,44,25,23,15,14,10,10,,,,,6,Choice of court :Left,,,Match Tied
Patna Pirates,Dabang Delhi,47,34,44,44,30,25,19,20,6,11,,,,,6,Choice of court :Right,,,Patna Pirates
Puneri Paltan,Jaipur Pink Panthers,32,32,41,42,24,25,16,18,7,9,,,,,7,Choice of court :Right,,,Match Tied
Jaipur Pink Panthers,Telugu Titans,25,27,41,42,21,16,13,7,9,8,0,0,3,1,3,Choice of court :Right,,,Telugu Titans
Puneri Paltan,U Mumba,27,29,42,43,19,19,12,10,10,9,,,,,7,Choice of court :Right,,,U Mumba
U Mumba,Bengal Warriors,32,21,40,40,16,16,6,13,4,12,,,,,5,Choice of court :Right,,,U Mumba
Puneri Paltan,Bengaluru Bulls,29,27,40,40,25,17,15,11,6,10,,,,,1,Choice of court :Right,,,Puneri Paltan
Dabang Delhi K.C.,Telugu Titans,34,36,41,41,30,28,21,19,11,9,,,,,8,Choice of court :Right,2,Dabang Delhi K.C.,Telugu Titans
Patna Pirates,Bengal Warriors,32,27,45,44,23,22,14,14,8,10,,,,,4,Choice of court :Left,,,Patna Pirates
Telugu Titans,Jaipur Pink Panthers,26,35,46,47,18,21,13,9,14,8,,,,,8,Choice of court :Right,,,Jaipur Pink Panthers
Patna Pirates,Bengaluru Bulls,36,32,43,42,29,18,20,13,6,10,,,,,1,Choice of court :Left,,,Patna Pirates
Bengaluru Bulls,Dabang Delhi,21,35,44,45,19,23,13,9,15,8,,,,,2,Choice of court :Left,,,Dabang Delhi
Patna Pirates,Puneri Paltan,28,28,44,44,22,23,12,12,12,11,,,,,6,Choice of court :Right,,,Match Tied
Bengal Warriors,Telugu Titans,32,28,48,47,20,21,9,14,8,13,,,,,8,Choice of court :Left,,,Bengal Warriors
Patna Pirates,U Mumba,28,34,43,43,18,24,10,11,13,9,,,,,5,Choice of court :Left,,,U Mumba
Jaipur Pink Panthers,Bengaluru Bulls,30,21,41,40,17,21,9,15,7,10,,,,,1,Choice of court :Right,,,Jaipur Pink Panthers
Puneri Paltan,Dabang Delhi,32,22,50,49,23,21,8,13,10,15,,,,,2,Choice of court :Right,,,Puneri Paltan
Telugu Titans,Bengaluru Bulls,40,22,46,45,27,17,16,14,4,12,,,,,1,Choice of court :Left,,,Telugu Titans
Bengaluru Bulls,Puneri Paltan,30,31,41,40,20,28,13,18,12,8,,,,,7,Choice of court :Left,,,Puneri Paltan
Jaipur Pink Panthers,Puneri Paltan,18,33,42,41,13,25,10,8,17,5,,,,,3,Choice of court :Left,,,Puneri Paltan
Jaipur Pink Panthers,Bengal Warriors,18,34,43,44,21,17,13,3,14,9,,,,,3,Choice of court :Right,,,Bengal Warriors
Bengal Warriors,U Mumba,17,30,43,43,19,17,11,5,13,9,,,,,4,Choice of court :Left,,,U Mumba
Jaipur Pink Panthers,Patna Pirates,24,47,45,45,23,24,16,10,15,8,,,,,3,Choice of court :Left,,,Patna Pirates
Dabang Delhi,Telugu Titans,36,44,47,48,31,26,25,16,10,6,,,,,2,Choice of court :Right,,,Telugu Titans
Diler Delhi,Mumbai Che Raje,56,35,41,41,33,32,17,25,7,16,3,2,1,0,238,Choice of court :Left,,,Diler Delhi
Chennai Challengers,Telugu Bulls,51,29,44,44,26,35,12,28,7,14,3,0,0,1,241,Choice of court :Left,,,Chennai Challengers
Haryana Heros,Bangalore Rhinos,41,47,44,44,32,35,22,22,15,10,3,1,2,0,243,Choice of court :Left,,,Bangalore Rhinos
Bengaluru Bulls,U Mumba,18,39,43,43,22,20,17,6,15,6,,,,,5,Choice of court :Left,,,U Mumba
Pune Pride,Pondicherry Predators,47,36,44,43,33,30,21,24,6,12,1,1,3,1,236,Choice of court :Left,236,Pune Pride,Pune Pride
Chennai Challengers,Mumbai Che Raje,34,34,42,43,24,22,14,11,13,10,0,1,6,1,239,Choice of court :Left,,,Match Tied
Pondicherry Predators,Bangalore Rhinos,40,31,42,42,28,27,18,18,9,10,2,0,0,0,240,Choice of court :Right,,,Pondicherry Predators
Diler Delhi,Chennai Challengers,49,37,45,45,31,32,17,24,8,14,0,2,0,1,239,Choice of court :Right,,,Diler Delhi
Diler Delhi,Mumbai Che Raje,45,36,47,48,30,33,15,20,13,17,2,0,1,2,242,Choice of court :Right,,,Diler Delhi
Dabang Delhi,Patna Pirates,34,67,50,50,40,35,34,15,21,6,,,,,2,Choice of court :Right,,,Patna Pirates
Chennai Challengers,Telugu Bulls,33,32,44,43,25,25,13,11,14,13,0,0,1,0,239,Choice of court :Left,,,Chennai Challengers
Puneri Paltan,Telugu Titans,41,24,48,47,32,16,15,12,4,19,,,,,7,Choice of court :Right,,,Puneri Paltan
Dabang Delhi,Jaipur Pink Panthers,21,21,44,45,19,15,8,7,8,11,,,,,3,Choice of court :Left,,,Match Tied
Telugu Titans,U Mumba,25,31,40,40,24,17,15,7,11,9,0,0,1,0,5,Choice of court :Left,8,Telugu Titans,U Mumba
Bengaluru Bulls,Patna Pirates,34,32,42,42,23,23,13,12,11,10,0,0,5,1,6,Choice of court :Left,,,Bengaluru Bulls
Bengaluru Bulls,Gujarat Fortunegiants,24,42,39,39,20,24,16,7,17,5,1,1,2,0,31,Choice of court :Left,,,Gujarat Fortunegiants
Telugu Titans,Tamil Thalaivas,26,39,42,42,24,23,16,9,14,8,0,1,0,1,8,Choice of court :Right,8,Telugu Titans,Tamil Thalaivas
U Mumba,Jaipur Pink Panthers,23,42,41,41,27,23,23,12,11,4,0,0,1,0,5,Choice of court :Right,,,Jaipur Pink Panthers
Bengaluru Bulls,Puneri Paltan,27,44,47,47,29,22,23,12,11,6,,,,,1,Choice of court :Right,,,Puneri Paltan
Puneri Paltan,Haryana Steelers,24,34,41,41,24,25,15,12,13,9,0,1,1,1,7,Choice of court :Right,,,Haryana Steelers
U.P. Yoddha,Bengal Warriors,17,48,41,40,27,20,22,6,15,6,0,1,0,0,30,Choice of court :Right,,,Bengal Warriors
Telugu Titans,Dabang Delhi K.C.,33,34,39,39,20,24,16,18,6,4,1,0,2,1,2,Choice of court :Left,8,Telugu Titans,Dabang Delhi K.C.
Dabang Delhi K.C.,Tamil Thalaivas,30,29,38,37,18,21,10,11,11,9,0,0,2,2,29,Choice of court :Left,,,Dabang Delhi K.C.
U.P. Yoddha,Gujarat Fortunegiants,19,44,41,40,27,18,22,4,15,5,0,1,0,0,30,Choice of court :Right,,,Gujarat Fortunegiants
Telugu Titans,Patna Pirates,22,34,39,39,17,22,10,8,14,8,0,0,2,2,6,Choice of court :Left,8,Telugu Titans,Patna Pirates
U Mumba,Puneri Paltan,33,23,40,39,18,22,8,14,8,12,0,0,2,3,5,Choice of court :Left,5,U Mumba,U Mumba
Jaipur Pink Panthers,Bengal Warriors,27,25,43,42,21,20,11,12,9,10,0,0,0,3,3,Choice of court :Left,,,Jaipur Pink Panthers
Dabang Delhi K.C.,Haryana Steelers,41,21,37,36,20,23,12,19,5,10,0,0,1,0,28,Choice of court :Right,,,Dabang Delhi K.C.
U Mumba,Bengaluru Bulls,26,30,39,40,16,18,12,12,8,8,0,0,1,2,5,Choice of court :Left,5,U Mumba,Bengaluru Bulls
U Mumba,Puneri Paltan,41,25,39,39,21,24,12,20,5,12,,,,,7,Choice of court :Right,,,U Mumba
Dabang Delhi,Bengal Warriors,31,37,44,45,23,23,19,18,5,4,,,,,2,Choice of court :Right,,,Bengal Warriors
Tamil Thalaivas,Patna Pirates,23,24,39,39,15,18,6,9,11,11,0,0,2,4,6,Choice of court :Right,,,Patna Pirates
Bengal Warriors,Puneri Paltan,43,23,39,39,22,27,11,20,7,12,3,0,1,2,4,Choice of court :Left,,,Bengal Warriors
Haryana Steelers,Jaipur Pink Panthers,21,37,42,41,24,23,15,9,15,9,0,0,0,0,28,Choice of court :Left,,,Jaipur Pink Panthers
U Mumba,U.P. Yoddha,23,27,39,39,19,19,10,6,14,10,0,0,2,0,30,Choice of court :Right,5,U Mumba,U.P. Yoddha
Gujarat Fortunegiants,Dabang Delhi K.C.,31,26,39,39,23,19,13,11,9,10,0,0,0,1,2,Choice of court :Right,,,Gujarat Fortunegiants
Telugu Titans,U.P. Yoddha,20,20,43,43,14,18,4,7,11,10,0,0,0,2,30,Choice of court :Right,,,Match Tied
U Mumba,Gujarat Fortunegiants,32,20,39,39,20,21,10,15,7,11,2,0,2,2,5,Choice of court :Left,5,U Mumba,U Mumba
Patna Pirates,Jaipur Pink Panthers,21,34,40,40,18,24,12,9,16,7,0,0,1,2,6,Choice of court :Right,6,Patna Pirates,Jaipur Pink Panthers
Bengal Warriors,Bengaluru Bulls,42,43,40,40,33,31,27,23,8,7,0,1,1,0,1,Choice of court :Left,,,Bengaluru Bulls
Haryana Steelers,Tamil Thalaivas,28,35,42,42,26,21,17,11,11,9,0,0,1,0,28,Choice of court :Right,,,Tamil Thalaivas
U Mumba,Jaipur Pink Panthers,35,21,43,42,18,22,8,15,7,10,,,,,3,Choice of court :Left,,,U Mumba
Patna Pirates,Puneri Paltan,20,41,42,42,22,26,15,9,18,7,1,1,0,0,7,Choice of court :Left,,,Puneri Paltan
Dabang Delhi K.C.,Jaipur Pink Panthers,35,24,37,38,24,21,16,18,4,10,1,1,0,0,2,Choice of court :Right,,,Dabang Delhi K.C.
Gujarat Fortunegiants,Puneri Paltan,31,33,39,40,19,32,12,20,13,7,0,0,1,1,31,Choice of court :Right,,,Puneri Paltan
U.P. Yoddha,Tamil Thalaivas,28,28,39,39,20,21,10,11,11,11,0,0,2,0,29,Choice of court :Left,,,Match Tied
Patna Pirates,Haryana Steelers,26,35,42,43,20,26,15,15,11,5,1,1,1,1,28,Choice of court :Left,6,Patna Pirates,Haryana Steelers
Telugu Titans,Bengaluru Bulls,26,47,40,40,23,28,14,15,13,9,1,1,1,6,8,Choice of court :Right,,,Bengaluru Bulls
Bengal Warriors,U Mumba,32,30,39,40,21,22,11,12,11,10,1,0,0,0,5,Choice of court :Left,,,Bengal Warriors
Patna Pirates,U.P. Yoddha,41,20,40,39,24,19,9,15,5,16,0,0,1,1,30,Choice of court :Left,6,Patna Pirates,Patna Pirates
Gujarat Fortunegiants,Tamil Thalaivas,28,34,42,43,20,23,12,11,13,9,0,1,1,1,29,Choice of court :Right,31,Gujarat Fortunegiants,Tamil Thalaivas
Puneri Paltan,Dabang Delhi K.C.,30,32,43,42,22,23,16,14,10,6,0,0,1,0,7,Choice of court :Left,,,Dabang Delhi K.C.
Telugu Titans,Patna Pirates,42,41,44,45,29,32,24,25,7,8,,,,,6,Choice of court :Left,,,Telugu Titans
Bengaluru Bulls,Haryana Steelers,30,33,41,41,22,25,13,14,11,11,0,0,0,1,1,Choice of court :Left,,,Haryana Steelers
Gujarat Fortunegiants,Telugu Titans,24,30,40,39,16,24,8,8,16,9,0,0,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Telugu Titans
Bengal Warriors,Telugu Titans,29,29,38,39,18,20,8,10,11,11,0,0,1,0,4,Choice of court :Right,,,Match Tied
U.P. Yoddha,Bengaluru Bulls,35,33,42,42,25,24,11,14,10,14,0,0,1,0,1,Choice of court :Right,,,U.P. Yoddha
U.P. Yoddha,Haryana Steelers,33,36,41,42,24,22,14,10,12,10,0,0,0,0,30,Choice of court :Left,,,Haryana Steelers
Gujarat Fortunegiants,Bengal Warriors,26,28,40,40,21,17,15,10,9,6,0,0,5,0,4,Choice of court :Right,31,Gujarat Fortunegiants,Bengal Warriors
Jaipur Pink Panthers,Puneri Paltan,33,25,39,39,23,21,10,16,5,13,0,0,0,3,3,Choice of court :Left,,,Jaipur Pink Panthers
U Mumba,Patna Pirates,34,30,42,41,20,23,15,16,8,6,1,0,2,1,5,Choice of court :Left,,,U Mumba
Gujarat Fortunegiants,Jaipur Pink Panthers,19,22,38,39,14,20,5,7,13,11,0,0,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Jaipur Pink Panthers
Tamil Thalaivas,Bengaluru Bulls,21,32,41,40,19,20,13,11,10,6,0,0,0,1,29,Choice of court :Left,29,Tamil Thalaivas,Bengaluru Bulls
U Mumba,Puneri Paltan,30,27,42,43,19,22,10,12,10,9,,,,,5,Choice of court :Right,,,U Mumba
Bengal Warriors,Dabang Delhi K.C.,30,30,38,38,20,20,14,14,7,7,1,0,1,1,2,Choice of court :Right,,,Match Tied
Haryana Steelers,Telugu Titans,29,40,41,41,23,28,20,18,11,4,1,0,0,0,8,Choice of court :Right,,,Telugu Titans
Tamil Thalaivas,Puneri Paltan,31,31,44,45,21,25,11,14,11,11,1,0,0,1,7,Choice of court :Right,29,Tamil Thalaivas,Match Tied
U Mumba,Haryana Steelers,27,30,39,39,21,18,13,11,9,8,0,1,2,2,28,Choice of court :Right,,,Haryana Steelers
U.P. Yoddha,Jaipur Pink Panthers,31,24,42,41,22,21,12,15,6,10,0,1,1,3,30,Choice of court :Left,,,U.P. Yoddha
Puneri Paltan,Bengaluru Bulls,31,23,41,41,32,18,16,12,7,16,0,0,0,0,1,Choice of court :Right,,,Puneri Paltan
Tamil Thalaivas,Jaipur Pink Panthers,26,28,42,42,12,23,6,15,9,7,0,0,0,3,29,Choice of court :Left,29,Tamil Thalaivas,Jaipur Pink Panthers
Bengal Warriors,Patna Pirates,35,26,42,42,25,20,14,15,5,11,0,0,0,1,6,Choice of court :Right,,,Bengal Warriors
Gujarat Fortunegiants,Patna Pirates,29,26,43,42,23,19,12,11,8,11,0,1,0,1,31,Choice of court :Left,,,Gujarat Fortunegiants
Tamil Thalaivas,U Mumba,24,29,39,39,19,22,13,12,12,8,0,0,0,1,29,Choice of court :Left,29,Tamil Thalaivas,U Mumba
Bengal Warriors,Bengaluru Bulls,26,22,51,50,20,21,10,13,10,10,,,,,4,Choice of court :Right,,,Bengal Warriors
Dabang Delhi K.C.,Bengaluru Bulls,33,31,43,42,24,19,14,9,10,10,0,0,0,0,2,Choice of court :Right,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Jaipur Pink Panthers,Telugu Titans,21,24,39,40,15,15,6,3,12,9,0,0,5,3,3,Choice of court :Right,,,Telugu Titans
Jaipur Pink Panthers,Bengaluru Bulls,30,41,44,44,25,25,15,9,16,13,0,1,2,0,1,Choice of court :Left,,,Bengaluru Bulls
Dabang Delhi K.C.,U.P. Yoddha,36,27,42,42,22,23,12,15,8,11,0,1,0,1,30,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Bengal Warriors,Haryana Steelers,33,36,40,40,24,28,19,21,7,6,1,1,0,1,4,Choice of court :Right,,,Haryana Steelers
U.P. Yoddha,Puneri Paltan,35,30,44,44,23,27,13,20,8,10,0,0,0,1,7,Choice of court :Left,,,U.P. Yoddha
Gujarat Fortunegiants,Haryana Steelers,25,41,41,41,25,26,19,12,14,6,0,2,2,0,28,Choice of court :Left,,,Haryana Steelers
Dabang Delhi K.C.,U Mumba,40,24,41,42,23,24,7,16,8,16,0,0,0,2,5,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Bengal Warriors,Tamil Thalaivas,35,26,43,43,22,26,12,20,6,10,0,1,0,0,4,Choice of court :Right,,,Bengal Warriors
Telugu Titans,Puneri Paltan,27,34,45,45,21,20,11,6,14,10,0,1,7,0,7,Choice of court :Left,,,Puneri Paltan
U Mumba,Telugu Titans,38,22,41,41,21,21,11,19,3,11,,,,,8,Choice of court :Right,,,U Mumba
Dabang Delhi K.C.,Patna Pirates,38,35,41,41,29,21,18,14,7,11,0,1,0,0,6,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Bengaluru Bulls,Gujarat Fortunegiants,23,32,44,44,20,18,10,5,14,10,0,0,3,0,1,Choice of court :Left,1,Bengaluru Bulls,Gujarat Fortunegiants
U Mumba,Jaipur Pink Panthers,47,21,43,42,20,24,5,21,3,17,1,0,0,2,3,Choice of court :Right,,,U Mumba
U.P. Yoddha,Bengal Warriors,32,29,46,45,23,20,9,11,11,14,0,0,2,3,4,Choice of court :Right,,,U.P. Yoddha
Bengaluru Bulls,Tamil Thalaivas,33,27,42,42,18,28,11,18,10,8,0,0,1,2,1,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
Puneri Paltan,Haryana Steelers,27,41,43,43,25,30,18,17,15,7,0,0,1,1,28,Choice of court :Right,,,Haryana Steelers
Telugu Titans,Tamil Thalaivas,35,30,44,43,27,24,19,17,7,11,0,0,1,1,29,Choice of court :Right,,,Telugu Titans
Jaipur Pink Panthers,Dabang Delhi K.C.,44,46,44,44,31,24,20,15,11,12,2,2,3,1,2,Choice of court :Right,,,Dabang Delhi K.C.
Bengaluru Bulls,Patna Pirates,40,39,46,46,24,32,14,21,11,10,0,1,3,4,1,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
