team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Puneri Paltan,U Mumba,33,33,42,42,24,20,14,9,12,10,1,0,2,0,7,Choice of court :Left,,,Match Tied
Puneri Paltan,Bengal Warriors,43,19,45,45,23,28,10,22,6,13,,,,,7,Choice of court :Right,,,Puneri Paltan
Patna Pirates,U.P. Yoddha,29,41,47,46,24,28,18,15,13,6,0,0,2,1,6,Choice of court :Left,,,U.P. Yoddha
Bengaluru Bulls,Telugu Titans,40,39,44,45,30,30,23,22,8,8,1,2,0,0,8,Choice of court :Right,1,Bengaluru Bulls,Bengaluru Bulls
Bengal Warriors,Gujarat Fortunegiants,25,25,41,42,21,21,13,13,8,8,0,1,0,0,31,Choice of court :Left,4,Bengal Warriors,Match Tied
Dabang Delhi K.C.,Haryana Steelers,25,47,40,41,26,23,21,10,13,5,0,2,0,1,28,Choice of court :Left,,,Haryana Steelers
Dabang Delhi K.C.,Tamil Thalaivas,50,34,41,42,21,28,13,25,4,12,1,0,0,0,2,Choice of court :Right,,,Dabang Delhi K.C.
Bengal Warriors,Puneri Paltan,42,39,42,41,24,32,15,20,13,10,3,0,1,0,7,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
U.P. Yoddha,Gujarat Fortunegiants,33,26,41,41,24,18,12,13,5,12,0,1,0,2,30,Choice of court :Right,,,U.P. Yoddha
Tamil Thalaivas,Patna Pirates,25,51,45,46,30,26,25,13,13,5,0,2,1,1,6,Choice of court :Left,,,Patna Pirates
Haryana Steelers,Jaipur Pink Panthers,32,32,42,43,25,23,13,13,12,12,1,0,1,0,3,Choice of court :Left,,,Match Tied
Bengal Warriors,U Mumba,29,26,40,39,22,19,13,13,6,10,1,2,1,0,4,Choice of court :Right,4,Bengal Warriors,Bengal Warriors
U Mumba,Dabang Delhi,36,20,44,45,18,26,8,19,8,10,,,,,2,Choice of court :Left,,,U Mumba
Jaipur Pink Panthers,Patna Pirates,33,36,44,45,26,25,20,16,9,6,1,1,3,1,6,Choice of court :Left,,,Patna Pirates
Telugu Titans,U Mumba,27,41,41,40,22,23,15,8,16,8,0,0,2,0,8,Choice of court :Right,,,U Mumba
Patna Pirates,Puneri Paltan,40,21,43,42,23,24,8,16,8,15,,,,,7,Choice of court :Right,,,Patna Pirates
U Mumba,Bengal Warriors,41,29,48,47,27,27,15,19,8,13,,,,,4,Choice of court :Right,,,U Mumba
Dabang Delhi K.C.,Patna Pirates,30,33,44,42,18,23,16,15,9,3,,,,,6,Choice of court :Right,2,Dabang Delhi K.C.,Patna Pirates
Bengal Warriors,Puneri Paltan,27,31,46,46,21,19,13,10,10,8,,,,,7,Choice of court :Left,,,Puneri Paltan
U Mumba,Patna Pirates,28,31,50,51,24,24,14,12,13,10,,,,,6,Choice of court :Right,,,Patna Pirates
U Mumba,Jaipur Pink Panthers,36,34,43,42,21,19,14,12,8,12,,,,,5,Choice of court :Right,,,U Mumba
Bengaluru Bulls,Bengal Warriors,24,23,41,40,17,18,9,11,8,9,,,,,1,Choice of court :Right,,,Bengaluru Bulls
Puneri Paltan,U Mumba,41,19,42,41,18,25,8,22,3,10,,,,,5,Choice of court :Left,7,Puneri Paltan,Puneri Paltan
Bengal Warriors,Dabang Delhi K.C.,31,23,39,38,18,18,8,13,7,11,,,,,2,Choice of court :Left,,,Bengal Warriors
Puneri Paltan,Patna Pirates,24,30,44,44,22,19,15,10,9,7,,,,,6,Choice of court :Left,7,Puneri Paltan,Patna Pirates
Puneri Paltan,Dabang Delhi K.C.,27,27,48,48,18,24,11,16,8,7,,,,,2,Choice of court :Left,7,Puneri Paltan,Match Tied
Jaipur Pink Panthers,Telugu Titans,28,24,40,39,19,20,10,11,11,11,,,,,3,Choice of court :Left,3,Jaipur Pink Panthers,Jaipur Pink Panthers
Bengaluru Bulls,U Mumba,32,43,41,40,27,24,19,11,14,9,,,,,5,Choice of court :Right,,,U Mumba
U Mumba,Patna Pirates,34,36,40,39,27,23,20,13,10,7,,,,,6,Choice of court :Right,,,Patna Pirates
Jaipur Pink Panthers,Bengaluru Bulls,28,28,41,41,17,22,10,13,9,8,,,,,3,Choice of court :Left,3,Jaipur Pink Panthers,Match Tied
U Mumba,Dabang Delhi K.C.,27,25,45,44,20,20,10,10,10,11,,,,,2,Choice of court :Right,,,U Mumba
Jaipur Pink Panthers,Bengal Warriors,36,33,47,47,23,28,17,20,8,6,,,,,4,Choice of court :Right,3,Jaipur Pink Panthers,Jaipur Pink Panthers
Dabang Delhi K.C.,Bengaluru Bulls,32,24,44,45,23,18,10,10,8,14,,,,,1,Choice of court :Right,,,Dabang Delhi K.C.
Jaipur Pink Panthers,Puneri Paltan,28,33,43,42,21,26,16,13,13,5,,,,,7,Choice of court :Right,3,Jaipur Pink Panthers,Puneri Paltan
Telugu Titans,Patna Pirates,33,35,41,41,27,23,19,16,8,9,,,,,6,Choice of court :Left,8,Telugu Titans,Patna Pirates
Bengal Warriors,U Mumba,18,26,39,39,14,18,8,6,12,6,,,,,5,Choice of court :Left,,,U Mumba
Bengaluru Bulls,Puneri Paltan,29,27,43,42,25,19,13,11,10,12,,,,,1,Choice of court :Right,,,Bengaluru Bulls
Telugu Titans,Bengal Warriors,35,18,42,42,18,24,5,18,7,13,,,,,8,Choice of court :Right,8,Telugu Titans,Telugu Titans
Bengaluru Bulls,Dabang Delhi K.C.,42,28,40,41,21,33,8,22,11,17,,,,,2,Choice of court :Left,0,TBC,Bengaluru Bulls
Dabang Delhi K.C.,Jaipur Pink Panthers,29,36,40,40,25,29,16,15,16,10,,,,,2,Choice of court :Left,2,Dabang Delhi K.C.,Jaipur Pink Panthers
Telugu Titans,Bengaluru Bulls,28,30,43,44,17,25,13,19,6,6,,,,,1,Choice of court :Right,8,Telugu Titans,Bengaluru Bulls
Dabang Delhi K.C.,Jaipur Pink Panthers,26,51,46,46,30,26,26,14,13,4,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,U Mumba,35,30,46,46,26,24,15,18,6,11,,,,,8,Choice of court :Left,8,Telugu Titans,Telugu Titans
Patna Pirates,Bengaluru Bulls,31,25,44,44,18,22,11,15,7,8,,,,,6,Choice of court :Right,6,Patna Pirates,Patna Pirates
Bengaluru Bulls,U Mumba,23,24,42,42,18,17,11,10,8,7,,,,,5,Choice of court :Left,,,U Mumba
Patna Pirates,Bengal Warriors,35,21,45,45,20,22,10,14,8,10,,,,,4,Choice of court :Left,6,Patna Pirates,Patna Pirates
Bengal Warriors,Puneri Paltan,31,38,43,43,26,22,17,13,9,9,,,,,7,Choice of court :Left,,,Puneri Paltan
Patna Pirates,Dabang Delhi K.C.,15,33,44,43,16,21,10,8,16,6,,,,,6,Choice of court :Right,6,Patna Pirates,Dabang Delhi K.C.
Dabang Delhi K.C.,Telugu Titans,23,28,45,45,17,19,9,8,11,8,,,,,2,Choice of court :Right,,,Telugu Titans
Patna Pirates,Jaipur Pink Panthers,21,26,42,42,16,20,7,9,12,9,,,,,6,Choice of court :Right,6,Patna Pirates,Jaipur Pink Panthers
Dabang Delhi K.C.,Bengal Warriors,45,35,39,38,35,28,22,23,6,13,,,,,2,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi
Bengaluru Bulls,Telugu Titans,24,32,43,44,18,24,12,13,11,6,,,,,1,Choice of court :Right,1,Bengaluru Bulls,Telugu Titans
Puneri Paltan,Bengal Warriors,34,34,47,47,16,30,9,17,14,10,,,,,4,Choice of court :Left,,,Match Tied
Bengaluru Bulls,Jaipur Pink Panthers,22,24,38,39,15,19,9,11,8,6,,,,,3,Choice of court :Left,1,Bengaluru Bulls,Jaipur Pink Panthers
Jaipur Pink Panthers,U Mumba,23,29,38,39,18,21,12,11,11,6,,,,,5,Choice of court :Left,,,U Mumba
Bengaluru Bulls,Patna Pirates,23,38,43,42,22,24,13,7,18,9,,,,,1,Choice of court :Left,1,Bengaluru Bulls,Patna Pirates
Telugu Titans,Puneri Paltan,32,29,44,43,28,16,15,9,9,13,,,,,7,Choice of court :Left,,,Telugu Titans
Bengaluru Bulls,Dabang Delhi K.C.,20,40,45,45,20,21,17,11,11,3,,,,,2,Choice of court :Left,1,Bengaluru Bulls,Dabang Delhi K.C.
Bengal Warriors,Jaipur Pink Panthers,32,25,39,40,24,22,13,17,6,11,,,,,3,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Patna Pirates,U Mumba,34,24,43,44,23,20,9,12,9,15,,,,,6,Choice of court :Right,,,Patna Pirates
Puneri Paltan,Jaipur Pink Panthers,27,33,44,44,23,22,17,14,11,6,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Patna Pirates,Puneri Paltan,34,26,37,38,22,25,18,22,4,4,,,,,7,Choice of court :Right,6,Patna Pirates,Patna Pirates
Bengal Warriors,Patna Pirates,27,33,44,43,21,20,12,11,11,11,,,,,6,Choice of court :Left,4,Bengal Warriors,Patna Pirates
Bengal Warriors,Telugu Titans,34,34,43,44,25,22,17,14,8,9,,,,,8,Choice of court :Right,4,Bengal Warriors,Match Tied
Telugu Titans,Dabang Delhi K.C.,36,28,43,43,27,21,15,14,8,13,,,,,8,Choice of court :Right,,,Telugu Titans
Bengal Warriors,Bengaluru Bulls,25,27,46,46,19,20,11,12,8,9,,,,,4,Choice of court :Right,4,Bengal Warriors,Bengaluru Bulls
U Mumba,Puneri Paltan,34,31,43,42,24,24,14,17,8,11,,,,,7,Choice of court :Left,5,U Mumba,U Mumba
Jaipur Pink Panthers,Dabang Delhi K.C.,24,22,41,40,15,20,8,14,7,7,,,,,2,Choice of court :Left,,,Jaipur Pink Panthers
U Mumba,Telugu Titans,25,25,42,43,20,19,13,11,9,7,,,,,8,Choice of court :Left,5,U Mumba,Match Tied
Jaipur Pink Panthers,Patna Pirates,29,22,40,39,17,16,9,13,4,8,,,,,6,Choice of court :Left,,,Jaipur Pink Panthers
U Mumba,Bengal Warriors,27,31,42,43,15,26,12,15,11,5,,,,,4,Choice of court :Left,5,U Mumba,Bengal Warriors
Patna Pirates,Puneri Paltan,31,28,44,44,21,22,12,14,8,9,,,,,7,Choice of court :Right,,,Patna Pirates
Bengal Warriors,Telugu Titans,39,34,42,40,29,25,22,20,6,8,,,,,4,Choice of court :Right,,,Bengal Warriors
U Mumba,Bengaluru Bulls,27,28,41,41,17,21,8,10,12,10,,,,,5,Choice of court :Right,5,U Mumba,Bengaluru Bulls
Dabang Delhi K.C.,Bengal Warriors,41,20,45,45,17,23,6,20,3,11,,,,,4,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Telugu Titans,Jaipur Pink Panthers,35,23,41,40,22,18,11,12,7,13,,,,,8,Choice of court :Right,,,Telugu Titans
Dabang Delhi K.C.,Patna Pirates,31,32,44,43,24,20,17,11,9,8,,,,,6,Choice of court :Left,2,Dabang Delhi K.C.,Patna Pirates
Patna Pirates,Telugu Titans,25,46,44,45,28,30,21,13,17,7,,,,,8,Choice of court :Left,,,Telugu Titans
Dabang Delhi K.C.,Puneri Paltan,34,39,48,47,29,20,23,15,7,8,,,,,2,Choice of court :Right,2,Dabang Delhi K.C.,Puneri Paltan
Puneri Paltan,Bengaluru Bulls,36,33,48,49,23,25,10,16,9,14,,,,,1,Choice of court :Left,,,Puneri Paltan
Dabang Delhi K.C.,U Mumba,34,38,46,47,21,24,13,13,11,8,,,,,5,Choice of court :Left,2,Dabang Delhi K.C.,U Mumba
Patna Pirates,Puneri Paltan,37,33,52,52,23,28,13,17,11,11,,,,,6,Choice of court :Right,,,Patna Pirates
Telugu Titans,Jaipur Pink Panthers,24,34,40,39,20,22,16,12,10,4,,,,,8,Choice of court :Right,,,Jaipur Pink Panthers
U Mumba,Patna Pirates,37,37,37,38,30,25,17,16,9,13,,,,,5,Choice of court :Left,6,Patna Pirates,Match Drawn
Telugu Titans,Puneri Paltan,35,40,45,45,24,29,18,19,11,6,,,,,8,Choice of court :Left,,,Puneri Paltan
Patna Pirates,Jaipur Pink Panthers,37,29,43,43,22,21,13,17,5,10,,,,,6,Choice of court :Right,,,Patna Pirates
Fire birds,Ice Divas,25,12,31,31,14,14,5,10,4,10,,,,,9,Choice of court :Left,,,Fire birds
Storm Queens,Ice Divas,15,28,37,36,11,23,6,8,15,6,,,,,10,Choice of court :Left,,,Ice Divas
Fire birds,Storm Queens,14,14,32,31,12,13,5,5,9,7,,,,,9,Choice of court :Left,,,Match Tied
Ice Divas,Fire Birds,24,14,32,31,17,16,4,7,9,13,,,,,11,Choice of court :Left,,,Ice Divas
Storm Queens,Ice Divas,21,15,34,35,17,12,4,4,9,14,,,,,11,Choice of court :Left,,,Storm Queens
Storm Queens,Fire Birds,21,11,32,33,17,13,4,6,7,13,,,,,9,Choice of court :Left,,,Storm Queens
Ice Divas,Fire Birds,13,22,32,32,13,16,7,6,10,6,,,,,9,Choice of court :Right,,,Fire Birds
Storm Queens,Fire Birds,24,23,35,33,18,18,9,10,8,9,,,,,10,Choice of court :Right,,,Storm Queens
Jaipur Pink Panthers,Telugu Titans,48,29,39,41,26,30,15,25,5,12,,,,,8,Choice of court :Left,,,Jaipur Pink Panthers
India,Republic of Korea,32,34,44,44,21,21,12,12,10,11,,,,,13,Choice of court :Right,12,India,Republic of Korea
USA,Iran,15,52,41,40,23,23,22,11,16,2,,,,,21,Choice of court :Left,,,Iran
England,Bangladesh,18,52,45,46,30,20,26,11,10,4,,,,,16,Choice of court :Left,,,Bangladesh
Poland,Kenya,48,54,44,44,31,41,26,27,15,6,,,,,22,Choice of court :Right,,,Kenya
India,Australia,54,20,43,43,21,25,11,25,0,11,,,,,12,Choice of court :Left,12,India,India
Republic of Korea,Argentina,68,42,44,43,36,41,22,32,9,17,,,,,17,Choice of court :Right,,,Republic of Korea
USA,Japan,19,45,38,38,17,20,16,7,15,2,,,,,21,Choice of court :Left,,,Japan
Thailand,Iran,23,64,45,45,28,35,27,14,22,2,,,,,18,Choice of court :Right,,,Iran
England,Australia,69,25,45,44,23,42,11,37,5,14,,,,,16,Choice of court :Left,,,England
Thailand,Poland,65,25,43,43,32,30,13,25,5,20,,,,,19,Choice of court :Left,,,Thailand
Dabang Delhi K.C.,Patna Pirates,28,30,39,41,19,26,16,19,7,5,,,,,6,Choice of court :Right,6,Patna Pirates,Match Drawn
Iran,Kenya,33,28,46,46,20,21,7,14,11,15,,,,,18,Choice of court :Left,,,Iran
India,Bangladesh,57,20,45,45,28,29,8,22,7,20,,,,,12,Choice of court :Left,12,India,India
Poland,Japan,22,33,42,41,15,27,13,15,14,3,,,,,20,Choice of court :Right,,,Japan
Australia,Argentina,68,45,48,47,37,39,18,29,11,20,,,,,15,Choice of court :Left,,,Australia
Thailand,Kenya,53,21,46,46,17,29,6,25,4,14,,,,,19,Choice of court :Left,,,Thailand
Bangladesh,Republic of Korea,32,35,46,46,27,19,16,13,9,12,,,,,14,Choice of court :Left,,,Republic of Korea
England,Argentina,68,28,47,46,31,37,15,32,5,18,,,,,17,Choice of court :Right,,,England
USA,Poland,29,75,40,41,40,30,28,11,22,13,,,,,23,Choice of court :Right,,,Poland
Republic of Korea,Australia,63,25,45,44,22,38,10,30,9,15,,,,,13,Choice of court :Left,,,Republic of Korea
Iran,Japan,38,34,45,44,28,27,18,21,8,10,,,,,18,Choice of court :Left,,,Iran
Jaipur Pink Panthers,Bengal Warriors,36,23,37,36,23,23,12,17,6,13,,,,,4,Choice of court :Left,,,Jaipur Pink Panthers
India,Argentina,74,20,44,44,34,29,10,27,3,25,,,,,17,Choice of court :Right,12,India,India
Thailand,USA,69,22,45,44,16,32,3,26,6,15,,,,,19,Choice of court :Left,,,Thailand
Republic of Korea,England,56,17,44,43,19,33,3,25,8,16,,,,,13,Choice of court :Left,,,Republic of Korea
Japan,Kenya,27,48,45,46,23,28,12,9,20,12,,,,,20,Choice of court :Left,,,Kenya
Poland,Iran,41,25,44,44,24,29,16,23,6,9,,,,,18,Choice of court :Right,,,Poland
Australia,Bangladesh,8,80,44,44,37,19,34,1,22,3,,,,,14,Choice of court :Right,,,Bangladesh
USA,Kenya,19,74,45,44,31,31,26,11,22,6,,,,,22,Choice of court :Right,,,Kenya
India,England,69,18,44,43,26,32,14,31,1,14,,,,,16,Choice of court :Right,12,India,India
Bangladesh,Argentina,67,26,45,46,33,39,19,37,2,15,,,,,17,Choice of court :Right,,,Bangladesh
Thailand,Japan,37,33,54,53,17,29,8,15,16,11,,,,,19,Choice of court :Left,,,Thailand
Bengaluru Bulls,Patna Pirates,33,33,40,41,23,26,16,21,6,9,,,,,1,Choice of court :Left,6,Patna Pirates,Bengaluru Bulls
Republic of Korea,Iran,22,28,45,45,14,17,9,6,13,8,,,,,13,Choice of court :Left,,,Iran
India,Thailand,73,20,46,46,29,41,11,37,4,18,,,,,12,Choice of court :Left,,,India
India,Iran,38,29,48,48,18,24,11,16,9,11,,,,,18,Choice of court :Right,,,India
Indian Railways,Haryana,27,30,43,43,20,20,13,12,11,9,,,,,25,Choice of court :Right,,,Haryana
Services SSCB,Maharashtra,31,25,43,44,21,18,8,9,10,15,,,,,26,Choice of court :Left,,,Services SSCB
Haryana,Services SCB,22,39,44,44,20,19,14,6,14,6,,,,,25,Choice of court :Left,,,Services SCB
Telugu Titans,Tamil Thalaivas,32,27,45,44,21,22,10,14,9,11,0,0,0,1,8,Choice of court :Right,8,Telugu Titans,Telugu Titans
U Mumba,Puneri Paltan,21,33,43,44,19,19,12,6,14,7,0,1,0,2,5,Choice of court :Right,,,Puneri Paltan
Jaipur Pink Panthers,Dabang Delhi K.C.,26,30,42,43,14,24,10,12,12,6,0,0,0,0,3,Choice of court :Right,,,Dabang Delhi K.C.
Telugu Titans,Patna Pirates,29,35,40,39,22,22,14,14,8,8,0,1,0,2,6,Choice of court :Left,8,Telugu Titans,Patna Pirates
Puneri Paltan,Telugu Titans,34,41,41,44,29,28,23,21,8,6,,,,,8,Choice of court :Right,7,Puneri Paltan,Telugu Titans
U Mumba,Haryana Steelers,29,28,41,40,23,21,13,12,9,10,1,0,1,0,28,Choice of court :Left,,,U Mumba
Telugu Titans,Bengaluru Bulls,21,31,39,40,17,18,13,8,10,4,0,1,0,0,1,Choice of court :Left,8,Telugu Titans,Bengaluru Bulls
Gujarat Fortunegiants,Dabang Delhi K.C.,26,20,43,42,17,15,8,10,6,10,0,0,0,0,31,Choice of court :Right,,,Gujarat Fortunegiants
Telugu Titans,U.P. Yoddha,18,31,40,41,18,22,14,12,11,4,0,1,0,1,8,Choice of court :Right,8,Telugu Titans,U.P. Yoddha
Gujarat Fortunegiants,Haryana Steelers,27,27,44,45,19,20,11,12,8,9,0,1,1,1,28,Choice of court :Left,,,Match Tied
Telugu Titans,Bengal Warriors,24,30,42,41,22,18,16,12,6,6,0,1,1,0,8,Choice of court :Right,8,Telugu Titans,Bengal Warriors
Telugu Titans,Patna Pirates,36,43,45,46,27,24,18,14,14,10,0,0,1,3,8,Choice of court :Right,8,Telugu Titans,Patna Pirates
Bengaluru Bulls,Tamil Thalaivas,32,31,45,44,23,21,12,13,8,11,0,0,2,0,1,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
Puneri Paltan,Dabang Delhi K.C.,26,21,42,43,16,19,8,14,6,9,0,0,0,1,7,Choice of court :Left,,,Puneri Paltan
U Mumba,Dabang Delhi K.C.,36,22,41,41,19,19,7,12,8,13,1,0,3,0,5,Choice of court :Left,,,U Mumba
Bengaluru Bulls,Puneri Paltan,39,34,41,41,26,25,13,15,12,13,,,,,1,Choice of court :Right,0,TBC,Bengaluru Bulls
Bengaluru Bulls,U Mumba,32,27,41,40,21,28,13,19,11,9,,,,,1,Choice of court :Right,,,Bengaluru Bulls
Bengaluru Bulls,U.P. Yoddha,27,32,38,37,16,25,12,16,10,4,0,1,0,0,30,Choice of court :Right,1,Bengaluru Bulls,U.P. Yoddha
Bengal Warriors,U.P. Yoddha,40,20,43,43,20,25,11,22,3,12,0,0,0,1,30,Choice of court :Right,,,Bengal Warriors
Bengaluru Bulls,Patna Pirates,32,46,43,42,26,19,22,9,10,6,0,0,0,2,1,Choice of court :Left,1,Bengaluru Bulls,Patna Pirates
Gujarat Fortunegiants,Haryana Steelers,20,32,41,41,17,21,9,9,13,9,1,0,1,4,31,Choice of court :Left,,,Haryana Steelers
Bengaluru Bulls,Telugu Titans,21,21,42,42,18,14,11,8,7,8,0,0,0,0,1,Choice of court :Left,1,Bengaluru Bulls,Match Tied
Bengaluru Bulls,Bengal Warriors,31,25,41,40,21,18,11,10,8,10,1,0,2,0,1,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
Puneri Paltan,Jaipur Pink Panthers,28,30,41,41,17,26,10,15,12,8,1,0,1,1,3,Choice of court :Right,,,Jaipur Pink Panthers
Bengaluru Bulls,Tamil Thalaivas,24,29,43,44,14,20,8,11,10,6,0,0,0,1,1,Choice of court :Left,1,Bengaluru Bulls,Tamil Thalaivas
Gujarat Fortunegiants,U Mumba,39,21,43,44,19,23,6,19,6,14,0,0,0,1,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Telugu Titans,U.P. Yoddha,32,39,43,42,25,26,16,16,12,10,1,1,0,1,8,Choice of court :Left,,,U.P. Yoddha
Bengal Warriors,Puneri Paltan,29,38,39,37,25,24,18,14,12,8,,,,,7,Choice of court :Left,7,Puneri Paltan,Puneri Paltan
Gujarat Fortunegiants,Dabang Delhi K.C.,29,25,46,47,14,22,7,14,9,10,0,1,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Patna Pirates,U.P. Yoddha,27,27,40,41,16,23,11,15,8,6,0,0,1,1,30,Choice of court :Right,,,Match Tied
Gujarat Fortunegiants,Jaipur Pink Panthers,27,20,42,41,19,12,6,6,10,14,0,0,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Bengal Warriors,Puneri Paltan,17,34,43,44,19,16,14,6,14,6,0,0,1,0,7,Choice of court :Right,,,Puneri Paltan
Gujarat Fortunegiants,Bengaluru Bulls,27,24,43,43,16,21,7,12,10,10,0,0,2,2,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Haryana Steelers,Tamil Thalaivas,25,25,43,44,18,16,10,7,10,9,0,0,2,1,29,Choice of court :Right,,,Match Tied
Gujarat Fortunegiants,Telugu Titans,29,19,43,42,19,19,10,14,7,9,1,0,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Dabang Delhi K.C.,Tamil Thalaivas,30,29,46,45,18,26,13,18,9,5,1,0,1,3,2,Choice of court :Left,,,Dabang Delhi K.C.
Gujarat Fortunegiants,Bengal Warriors,26,26,41,41,18,21,15,16,6,3,1,1,0,0,31,Choice of court :Left,31,Gujarat Fortunegiants,Match Tied
U.P. Yoddha,U Mumba,34,37,40,40,24,30,18,22,8,6,2,0,0,0,5,Choice of court :Left,30,U.P. Yoddha,U Mumba
Bengaluru Bulls,Dabang Delhi K.C.,26,25,40,39,19,22,11,12,13,9,,,,,2,Choice of court :Right,,,Dabang Delhi
Bengaluru Bulls,Jaipur Pink Panthers,28,30,39,39,17,19,9,9,12,8,0,1,0,0,3,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,U Mumba,37,32,43,43,23,25,12,16,10,11,2,0,3,0,5,Choice of court :Left,,,Telugu Titans
U.P. Yoddha,Haryana Steelers,29,36,45,45,23,21,14,8,16,10,0,0,4,1,30,Choice of court :Right,30,U.P. Yoddha,Haryana Steelers
